Type_Event,Region,Year,Aggregator,Disaggregator,Substance,Source,Specific_Measure,PRUID,Time_Period,Unit,Value
Accidental apparent stimulant toxicity deaths,Alberta,2019,60 years or more,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2020,0 to 19 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2020,0 to 19 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2020,20 to 29 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2020,20 to 29 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2020,30 to 39 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2020,30 to 39 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2020,40 to 49 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2020,40 to 49 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2020,50 to 59 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2020,50 to 59 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2020,60 years or more,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2020,60 years or more,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2021,0 to 19 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2021,0 to 19 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2021,20 to 29 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2021,20 to 29 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2021,30 to 39 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2021,30 to 39 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2021,40 to 49 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2021,40 to 49 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2021,50 to 59 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2021,50 to 59 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2021,60 years or more,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2021,60 years or more,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2022,0 to 19 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2022,0 to 19 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2022,20 to 29 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2022,20 to 29 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2022,30 to 39 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2022,30 to 39 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2022,40 to 49 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2022,40 to 49 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2022,50 to 59 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2022,50 to 59 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2022,60 years or more,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2022,60 years or more,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2023,0 to 19 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2023,0 to 19 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2023,20 to 29 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2023,20 to 29 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2023,30 to 39 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2023,30 to 39 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2023,40 to 49 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2023,40 to 49 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2023,50 to 59 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2023,50 to 59 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2023,60 years or more,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2023,60 years or more,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2024,0 to 19 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2024,0 to 19 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2024,20 to 29 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2024,20 to 29 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2024,30 to 39 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2024,30 to 39 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2024,40 to 49 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2024,40 to 49 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2024,50 to 59 years,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2024,50 to 59 years,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2024,60 years or more,Female,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,Alberta,2024,60 years or more,Male,Stimulants,Deaths,Age group by sex,48,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,British Columbia,2018,0 to 19 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,3.0
Accidental apparent stimulant toxicity deaths,British Columbia,2018,0 to 19 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,11.0
Accidental apparent stimulant toxicity deaths,British Columbia,2018,20 to 29 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,41.0
Accidental apparent stimulant toxicity deaths,British Columbia,2018,20 to 29 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,134.0
Accidental apparent stimulant toxicity deaths,British Columbia,2018,30 to 39 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,66.0
Accidental apparent stimulant toxicity deaths,British Columbia,2018,30 to 39 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,205.0
Accidental apparent stimulant toxicity deaths,British Columbia,2018,40 to 49 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,47.0
Accidental apparent stimulant toxicity deaths,British Columbia,2018,40 to 49 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,198.0
Accidental apparent stimulant toxicity deaths,British Columbia,2018,50 to 59 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,49.0
Accidental apparent stimulant toxicity deaths,British Columbia,2018,50 to 59 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,223.0
Accidental apparent stimulant toxicity deaths,British Columbia,2018,60 years or more,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,18.0
Accidental apparent stimulant toxicity deaths,British Columbia,2018,60 years or more,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,87.0
Accidental apparent stimulant toxicity deaths,British Columbia,2019,0 to 19 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,5.0
Accidental apparent stimulant toxicity deaths,British Columbia,2019,0 to 19 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,3.0
Accidental apparent stimulant toxicity deaths,British Columbia,2019,20 to 29 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,23.0
Accidental apparent stimulant toxicity deaths,British Columbia,2019,20 to 29 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,65.0
Accidental apparent stimulant toxicity deaths,British Columbia,2019,30 to 39 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,38.0
Accidental apparent stimulant toxicity deaths,British Columbia,2019,30 to 39 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,110.0
Accidental apparent stimulant toxicity deaths,British Columbia,2019,40 to 49 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,32.0
Accidental apparent stimulant toxicity deaths,British Columbia,2019,40 to 49 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,100.0
Accidental apparent stimulant toxicity deaths,British Columbia,2019,50 to 59 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,29.0
Accidental apparent stimulant toxicity deaths,British Columbia,2019,50 to 59 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,92.0
Accidental apparent stimulant toxicity deaths,British Columbia,2019,60 years or more,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,12.0
Accidental apparent stimulant toxicity deaths,British Columbia,2019,60 years or more,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,46.0
Accidental apparent stimulant toxicity deaths,British Columbia,2020,0 to 19 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,4.0
Accidental apparent stimulant toxicity deaths,British Columbia,2020,0 to 19 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,10.0
Accidental apparent stimulant toxicity deaths,British Columbia,2020,20 to 29 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,41.0
Accidental apparent stimulant toxicity deaths,British Columbia,2020,20 to 29 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,127.0
Accidental apparent stimulant toxicity deaths,British Columbia,2020,30 to 39 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,51.0
Accidental apparent stimulant toxicity deaths,British Columbia,2020,30 to 39 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,198.0
Accidental apparent stimulant toxicity deaths,British Columbia,2020,40 to 49 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,47.0
Accidental apparent stimulant toxicity deaths,British Columbia,2020,40 to 49 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,220.0
Accidental apparent stimulant toxicity deaths,British Columbia,2020,50 to 59 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,46.0
Accidental apparent stimulant toxicity deaths,British Columbia,2020,50 to 59 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,239.0
Accidental apparent stimulant toxicity deaths,British Columbia,2020,60 years or more,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,28.0
Accidental apparent stimulant toxicity deaths,British Columbia,2020,60 years or more,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,102.0
Accidental apparent stimulant toxicity deaths,British Columbia,2021,0 to 19 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,5.0
Accidental apparent stimulant toxicity deaths,British Columbia,2021,0 to 19 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,5.0
Accidental apparent stimulant toxicity deaths,British Columbia,2021,20 to 29 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,49.0
Accidental apparent stimulant toxicity deaths,British Columbia,2021,20 to 29 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,116.0
Accidental apparent stimulant toxicity deaths,British Columbia,2021,30 to 39 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,75.0
Accidental apparent stimulant toxicity deaths,British Columbia,2021,30 to 39 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,239.0
Accidental apparent stimulant toxicity deaths,British Columbia,2021,40 to 49 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,68.0
Accidental apparent stimulant toxicity deaths,British Columbia,2021,40 to 49 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,233.0
Accidental apparent stimulant toxicity deaths,British Columbia,2021,50 to 59 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,90.0
Accidental apparent stimulant toxicity deaths,British Columbia,2021,50 to 59 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,271.0
Accidental apparent stimulant toxicity deaths,British Columbia,2021,60 years or more,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,21.0
Accidental apparent stimulant toxicity deaths,British Columbia,2021,60 years or more,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,154.0
Accidental apparent stimulant toxicity deaths,British Columbia,2022,0 to 19 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,6.0
Accidental apparent stimulant toxicity deaths,British Columbia,2022,0 to 19 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,4.0
Accidental apparent stimulant toxicity deaths,British Columbia,2022,20 to 29 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,61.0
Accidental apparent stimulant toxicity deaths,British Columbia,2022,20 to 29 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,132.0
Accidental apparent stimulant toxicity deaths,British Columbia,2022,30 to 39 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,94.0
Accidental apparent stimulant toxicity deaths,British Columbia,2022,30 to 39 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,260.0
Accidental apparent stimulant toxicity deaths,British Columbia,2022,40 to 49 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,67.0
Accidental apparent stimulant toxicity deaths,British Columbia,2022,40 to 49 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,268.0
Accidental apparent stimulant toxicity deaths,British Columbia,2022,50 to 59 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,77.0
Accidental apparent stimulant toxicity deaths,British Columbia,2022,50 to 59 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,314.0
Accidental apparent stimulant toxicity deaths,British Columbia,2022,60 years or more,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,32.0
Accidental apparent stimulant toxicity deaths,British Columbia,2022,60 years or more,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,176.0
Accidental apparent stimulant toxicity deaths,British Columbia,2023,0 to 19 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,6.0
Accidental apparent stimulant toxicity deaths,British Columbia,2023,0 to 19 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,6.0
Accidental apparent stimulant toxicity deaths,British Columbia,2023,20 to 29 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,62.0
Accidental apparent stimulant toxicity deaths,British Columbia,2023,20 to 29 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,120.0
Accidental apparent stimulant toxicity deaths,British Columbia,2023,30 to 39 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,109.0
Accidental apparent stimulant toxicity deaths,British Columbia,2023,30 to 39 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,294.0
Accidental apparent stimulant toxicity deaths,British Columbia,2023,40 to 49 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,91.0
Accidental apparent stimulant toxicity deaths,British Columbia,2023,40 to 49 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,277.0
Accidental apparent stimulant toxicity deaths,British Columbia,2023,50 to 59 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,75.0
Accidental apparent stimulant toxicity deaths,British Columbia,2023,50 to 59 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,331.0
Accidental apparent stimulant toxicity deaths,British Columbia,2023,60 years or more,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,45.0
Accidental apparent stimulant toxicity deaths,British Columbia,2023,60 years or more,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,237.0
Accidental apparent stimulant toxicity deaths,British Columbia,2024,0 to 19 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,0.0
Accidental apparent stimulant toxicity deaths,British Columbia,2024,0 to 19 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,2.0
Accidental apparent stimulant toxicity deaths,British Columbia,2024,20 to 29 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,20.0
Accidental apparent stimulant toxicity deaths,British Columbia,2024,20 to 29 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,18.0
Accidental apparent stimulant toxicity deaths,British Columbia,2024,30 to 39 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,22.0
Accidental apparent stimulant toxicity deaths,British Columbia,2024,30 to 39 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,46.0
Accidental apparent stimulant toxicity deaths,British Columbia,2024,40 to 49 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,14.0
Accidental apparent stimulant toxicity deaths,British Columbia,2024,40 to 49 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,59.0
Accidental apparent stimulant toxicity deaths,British Columbia,2024,50 to 59 years,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,14.0
Accidental apparent stimulant toxicity deaths,British Columbia,2024,50 to 59 years,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,46.0
Accidental apparent stimulant toxicity deaths,British Columbia,2024,60 years or more,Female,Stimulants,Deaths,Age group by sex,59,By year,Number,15.0
Accidental apparent stimulant toxicity deaths,British Columbia,2024,60 years or more,Male,Stimulants,Deaths,Age group by sex,59,By year,Number,33.0
Accidental apparent stimulant toxicity deaths,Canada,2018,0 to 19 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,7.0
Accidental apparent stimulant toxicity deaths,Canada,2018,0 to 19 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,22.0
Accidental apparent stimulant toxicity deaths,Canada,2018,20 to 29 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,115.0
Accidental apparent stimulant toxicity deaths,Canada,2018,20 to 29 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,267.0
Accidental apparent stimulant toxicity deaths,Canada,2018,30 to 39 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,158.0
Accidental apparent stimulant toxicity deaths,Canada,2018,30 to 39 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,424.0
Accidental apparent stimulant toxicity deaths,Canada,2018,40 to 49 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,117.0
Accidental apparent stimulant toxicity deaths,Canada,2018,40 to 49 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,401.0
Accidental apparent stimulant toxicity deaths,Canada,2018,50 to 59 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,106.0
Accidental apparent stimulant toxicity deaths,Canada,2018,50 to 59 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,427.0
Accidental apparent stimulant toxicity deaths,Canada,2018,60 years or more,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,32.0
Accidental apparent stimulant toxicity deaths,Canada,2018,60 years or more,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,157.0
Accidental apparent stimulant toxicity deaths,Canada,2019,0 to 19 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,8.0
Accidental apparent stimulant toxicity deaths,Canada,2019,0 to 19 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,19.0
Accidental apparent stimulant toxicity deaths,Canada,2019,20 to 29 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,95.0
Accidental apparent stimulant toxicity deaths,Canada,2019,20 to 29 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,228.0
Accidental apparent stimulant toxicity deaths,Canada,2019,30 to 39 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,158.0
Accidental apparent stimulant toxicity deaths,Canada,2019,30 to 39 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,373.0
Accidental apparent stimulant toxicity deaths,Canada,2019,40 to 49 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,105.0
Accidental apparent stimulant toxicity deaths,Canada,2019,40 to 49 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,318.0
Accidental apparent stimulant toxicity deaths,Canada,2019,50 to 59 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,105.0
Accidental apparent stimulant toxicity deaths,Canada,2019,50 to 59 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,311.0
Accidental apparent stimulant toxicity deaths,Canada,2019,60 years or more,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,25.0
Accidental apparent stimulant toxicity deaths,Canada,2019,60 years or more,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,155.0
Accidental apparent stimulant toxicity deaths,Canada,2020,0 to 19 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,15.0
Accidental apparent stimulant toxicity deaths,Canada,2020,0 to 19 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,34.0
Accidental apparent stimulant toxicity deaths,Canada,2020,20 to 29 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,153.0
Accidental apparent stimulant toxicity deaths,Canada,2020,20 to 29 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,396.0
Accidental apparent stimulant toxicity deaths,Canada,2020,30 to 39 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,245.0
Accidental apparent stimulant toxicity deaths,Canada,2020,30 to 39 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,685.0
Accidental apparent stimulant toxicity deaths,Canada,2020,40 to 49 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,190.0
Accidental apparent stimulant toxicity deaths,Canada,2020,40 to 49 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,638.0
Accidental apparent stimulant toxicity deaths,Canada,2020,50 to 59 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,155.0
Accidental apparent stimulant toxicity deaths,Canada,2020,50 to 59 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,661.0
Accidental apparent stimulant toxicity deaths,Canada,2020,60 years or more,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,60.0
Accidental apparent stimulant toxicity deaths,Canada,2020,60 years or more,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,253.0
Accidental apparent stimulant toxicity deaths,Canada,2021,0 to 19 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,17.0
Accidental apparent stimulant toxicity deaths,Canada,2021,0 to 19 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,21.0
Accidental apparent stimulant toxicity deaths,Canada,2021,20 to 29 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,223.0
Accidental apparent stimulant toxicity deaths,Canada,2021,20 to 29 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,425.0
Accidental apparent stimulant toxicity deaths,Canada,2021,30 to 39 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,313.0
Accidental apparent stimulant toxicity deaths,Canada,2021,30 to 39 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,801.0
Accidental apparent stimulant toxicity deaths,Canada,2021,40 to 49 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,219.0
Accidental apparent stimulant toxicity deaths,Canada,2021,40 to 49 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,756.0
Accidental apparent stimulant toxicity deaths,Canada,2021,50 to 59 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,214.0
Accidental apparent stimulant toxicity deaths,Canada,2021,50 to 59 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,724.0
Accidental apparent stimulant toxicity deaths,Canada,2021,60 years or more,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,63.0
Accidental apparent stimulant toxicity deaths,Canada,2021,60 years or more,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,367.0
Accidental apparent stimulant toxicity deaths,Canada,2022,0 to 19 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,20.0
Accidental apparent stimulant toxicity deaths,Canada,2022,0 to 19 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,26.0
Accidental apparent stimulant toxicity deaths,Canada,2022,20 to 29 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,189.0
Accidental apparent stimulant toxicity deaths,Canada,2022,20 to 29 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,392.0
Accidental apparent stimulant toxicity deaths,Canada,2022,30 to 39 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,284.0
Accidental apparent stimulant toxicity deaths,Canada,2022,30 to 39 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,754.0
Accidental apparent stimulant toxicity deaths,Canada,2022,40 to 49 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,231.0
Accidental apparent stimulant toxicity deaths,Canada,2022,40 to 49 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,749.0
Accidental apparent stimulant toxicity deaths,Canada,2022,50 to 59 years,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,193.0
Accidental apparent stimulant toxicity deaths,Canada,2022,50 to 59 years,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,723.0
Accidental apparent stimulant toxicity deaths,Canada,2022,60 years or more,Female,Stimulants,Deaths,Age group by sex,1,By year,Number,67.0
Accidental apparent stimulant toxicity deaths,Canada,2022,60 years or more,Male,Stimulants,Deaths,Age group by sex,1,By year,Number,382.0
